,di-values,s*,i*,r*,n*,us*,ui*,ur*,un*
61,6.049999999999993,246.43238095238095,0.0,2.9023809523809523,249.3347619047619,24.800337921039155,0.0,1.1822213804064996,25.056040775930253
62,6.0999999999999925,249.71380952380957,0.0,3.0276190476190474,252.74142857142863,21.43121141938772,0.0,1.7950268917066714,21.605673968174372
63,6.149999999999992,255.33571428571432,0.0,3.0971428571428574,258.43285714285713,25.932441466398092,0.0,1.8625211499506806,26.09629920070639
64,6.199999999999992,253.29333333333332,0.0,3.63047619047619,256.92380952380955,26.16136340383261,0.0,1.8566143326079738,26.839525207773047
65,6.249999999999992,251.98333333333338,0.0,3.6314285714285717,255.61476190476193,20.664060977933964,0.0,1.7985383332179559,21.04406891520593
66,6.299999999999992,246.74571428571426,0.0,3.3447619047619046,250.09047619047618,24.947475544720383,0.0,1.7876056015933919,25.51066212559305
67,6.349999999999992,252.0957142857143,0.0,3.4642857142857144,255.56,19.435676624453805,0.0,1.719811530569635,20.019695200436175
68,6.3999999999999915,251.0566666666667,0.0,2.7666666666666666,253.82333333333335,20.865311343479096,0.0,1.54236470683457,21.01808469216413
69,6.449999999999991,253.947619047619,0.0,3.07,257.017619047619,24.48491839939319,0.0,1.6832603203671288,24.98636789782828
70,6.499999999999991,244.01619047619047,0.0,2.739047619047619,246.75523809523807,23.797724905074354,0.0,1.782327963793853,24.121719327416475
71,6.549999999999991,252.82619047619045,0.0,2.8,255.62619047619046,25.207099227676373,0.0,1.851125783588643,25.821230542172422
