,S,I,R
119,299.99999980364913,14.285714431346667,85.7142857650042
120,299.9999996522961,14.285714411417075,85.71428593628684
121,299.99999958006657,14.285714383572817,85.71428603636062
122,299.9999995727515,14.285714352984412,85.71428607426408
123,299.99999961314035,14.285714323682615,85.71428606317704
124,299.9999996836928,14.285714298443411,85.71428601786378
125,299.99999976850575,14.285714278839027,85.71428595265523
126,299.9999998545593,14.285714265403502,85.71428588003721
127,299.9999999323098,14.28571425786335,85.71428580982688
128,299.9999999957464,14.285714255390628,85.71428574886296
129,300.00000004205475,14.285714256845127,85.71428570110012
130,300.0000000710316,14.285714260982822,85.71428566798559
131,300.000000084383,14.285714266617642,85.71428564899938
132,300.00000008501246,14.28571427273222,85.71428564225532
133,300.00000007637897,14.285714278539881,85.71428564508115
134,300.0000000619729,14.285714283504808,85.71428565452229
135,300.00000004493444,14.285714287329794,85.71428566773577
136,300.00000002781474,14.285714289921883,85.71428568226338
137,300.00000001246656,14.285714291345682,85.71428569618776
138,300.00000000003973,14.2857142917728,85.71428570818746
139,299.9999999910531,14.285714291433827,85.71428571751309
140,299.9999999855138,14.285714290577344,85.71428572390886
141,299.99999998305856,14.285714289438356,85.71428572750308
142,299.999999983095,14.285714288216937,85.71428572868807
143,299.9999999849286,14.285714287066511,85.7142857280049
144,299.99999998786524,14.285714286090387,85.71428572604438
145,299.9999999912852,14.28571428534461,85.71428572337017
146,299.99999999468895,14.285714284845064,85.714285720466
147,299.99999999771705,14.285714284576907,85.71428571770603
148,300.0000000001499,14.28571428450467,85.71428571534544
149,300.00000000189243,14.28571428458177,85.7142857135258
150,300.00000000294966,14.285714284758576,85.71428571229177
151,300.0000000033985,14.285714284988552,85.71428571161294
152,300.0000000033596,14.28571428523237,85.71428571140801
153,300.00000000297234,14.28571428546013,85.71428571156753
154,300.00000000237463,14.285714285651933,85.71428571197343
155,300.0000000016887,14.285714285797239,85.71428571251406
156,300.0000000010124,14.2857142858934,85.71428571309421
157,300.0000000004153,14.28571428594376,85.71428571364095
158,299.9999999999393,14.285714285955631,85.71428571410507
159,299.9999999996017,14.28571428593841,85.71428571445989
160,299.9999999994003,14.285714285901998,85.7142857146977
161,299.9999999993188,14.285714285855613,85.71428571482559
162,299.9999999993327,14.285714285806973,85.71428571486031
163,299.9999999994141,14.285714285761907,85.71428571482397
164,299.9999999995356,14.285714285724238,85.71428571474017
165,299.99999999967304,14.285714285695947,85.71428571463102
166,299.99999999980736,14.285714285677457,85.71428571451519
167,299.999999999925,14.285714285668032,85.71428571440694
168,300.0000000000181,14.285714285666161,85.71428571431576
169,300.00000000008345,14.285714285669954,85.7142857142466
170,300.00000000012176,14.285714285677434,85.71428571420081
171,300.0000000001364,14.285714285686781,85.7142857141768
172,300.00000000013245,14.285714285696477,85.71428571417108
173,300.0000000001154,14.285714285705387,85.71428571417923
174,300.0000000000907,14.28571428571278,85.71428571419649
175,300.0000000000632,14.285714285718283,85.7142857142185
176,300.00000000003655,14.285714285721836,85.71428571424161
177,300.00000000001336,14.285714285723595,85.71428571426304
178,299.99999999999517,14.285714285723866,85.71428571428096
179,299.99999999998255,14.285714285723039,85.71428571429442
180,299.99999999997533,14.285714285721502,85.71428571430317
