,time,S,I,R
273,0.6825,99.0,202.0,99.0
274,0.685,98.0,203.0,99.0
275,0.6875,98.0,202.0,100.0
276,0.6900000000000001,98.0,201.0,101.0
277,0.6925,98.0,200.0,102.0
278,0.6950000000000001,97.0,200.0,103.0
279,0.6975,97.0,199.0,104.0
280,0.7000000000000001,96.0,199.0,105.0
281,0.7025,95.0,199.0,106.0
282,0.705,95.0,198.0,107.0
283,0.7075,94.0,198.0,108.0
284,0.71,93.0,198.0,109.0
285,0.7125,92.0,198.0,110.0
286,0.715,91.0,198.0,111.0
287,0.7175,91.0,198.0,111.0
288,0.72,91.0,198.0,111.0
289,0.7225,90.0,199.0,111.0
290,0.725,90.0,198.0,112.0
291,0.7275,89.0,199.0,112.0
292,0.73,90.0,199.0,111.0
293,0.7325,89.0,200.0,111.0
294,0.735,88.0,200.0,112.0
295,0.7375,87.0,201.0,112.0
296,0.74,87.0,200.0,113.0
297,0.7425,86.0,200.0,114.0
298,0.745,85.0,201.0,114.0
299,0.7475,84.0,201.0,115.0
300,0.75,84.0,201.0,115.0
301,0.7525000000000001,84.0,201.0,115.0
302,0.755,84.0,201.0,115.0
303,0.7575000000000001,83.0,202.0,115.0
304,0.76,83.0,201.0,116.0
305,0.7625000000000001,84.0,201.0,115.0
306,0.765,84.0,201.0,115.0
307,0.7675000000000001,84.0,200.0,116.0
308,0.77,84.0,200.0,116.0
309,0.7725,83.0,201.0,116.0
310,0.775,82.0,201.0,117.0
311,0.7775,82.0,200.0,118.0
312,0.78,82.0,199.0,119.0
313,0.7825,81.0,200.0,119.0
314,0.785,81.0,200.0,119.0
315,0.7875,80.0,201.0,119.0
316,0.79,79.0,202.0,119.0
317,0.7925,80.0,201.0,119.0
318,0.795,80.0,201.0,119.0
319,0.7975,80.0,201.0,119.0
320,0.8,80.0,202.0,118.0
321,0.8025,80.0,202.0,118.0
322,0.805,79.0,203.0,118.0
323,0.8075,79.0,202.0,119.0
324,0.81,79.0,202.0,119.0
325,0.8125,78.0,202.0,120.0
