,S,I,R
433,228.0,67.0,105.0
434,228.0,67.0,105.0
435,228.0,66.0,106.0
436,228.0,65.0,107.0
437,228.0,64.0,108.0
438,228.0,63.0,109.0
439,228.0,63.0,109.0
440,228.0,63.0,109.0
441,228.0,63.0,109.0
442,228.0,63.0,109.0
443,228.0,63.0,109.0
444,228.0,63.0,109.0
445,228.0,63.0,109.0
446,228.0,63.0,109.0
447,228.0,63.0,109.0
448,228.0,63.0,109.0
449,228.0,63.0,109.0
450,228.0,63.0,109.0
451,228.0,63.0,109.0
452,229.0,62.0,109.0
453,229.0,62.0,109.0
454,229.0,62.0,109.0
455,228.0,63.0,109.0
456,228.0,63.0,109.0
457,228.0,63.0,109.0
458,228.0,63.0,109.0
459,227.0,64.0,109.0
460,227.0,64.0,109.0
461,227.0,64.0,109.0
462,227.0,64.0,109.0
463,226.0,65.0,109.0
464,226.0,65.0,109.0
465,225.0,66.0,109.0
466,225.0,66.0,109.0
467,224.0,67.0,109.0
468,224.0,67.0,109.0
469,224.0,67.0,109.0
470,224.0,67.0,109.0
471,224.0,67.0,109.0
472,224.0,67.0,109.0
473,223.0,68.0,109.0
474,223.0,67.0,110.0
475,222.0,68.0,110.0
476,221.0,68.0,111.0
477,221.0,68.0,111.0
478,221.0,68.0,111.0
479,221.0,68.0,111.0
480,221.0,68.0,111.0
481,221.0,68.0,111.0
482,221.0,68.0,111.0
483,221.0,68.0,111.0
484,221.0,68.0,111.0
485,220.0,69.0,111.0
486,220.0,69.0,111.0
487,220.0,69.0,111.0
488,219.0,70.0,111.0
489,219.0,70.0,111.0
490,219.0,69.0,112.0
491,219.0,69.0,112.0
492,219.0,69.0,112.0
493,219.0,69.0,112.0
494,219.0,69.0,112.0
495,219.0,69.0,112.0
496,218.0,70.0,112.0
497,218.0,69.0,113.0
498,218.0,69.0,113.0
499,218.0,69.0,113.0
500,218.0,69.0,113.0
501,218.0,69.0,113.0
502,218.0,69.0,113.0
503,218.0,69.0,113.0
504,218.0,68.0,114.0
505,218.0,68.0,114.0
506,218.0,68.0,114.0
507,217.0,69.0,114.0
508,216.0,70.0,114.0
509,215.0,71.0,114.0
510,215.0,71.0,114.0
511,215.0,71.0,114.0
512,215.0,71.0,114.0
513,215.0,71.0,114.0
514,214.0,72.0,114.0
515,214.0,72.0,114.0
516,214.0,72.0,114.0
517,214.0,72.0,114.0
518,214.0,71.0,115.0
519,214.0,71.0,115.0
520,214.0,71.0,115.0
521,214.0,71.0,115.0
522,214.0,71.0,115.0
523,214.0,71.0,115.0
524,214.0,71.0,115.0
525,214.0,71.0,115.0
526,214.0,71.0,115.0
527,214.0,70.0,116.0
528,214.0,70.0,116.0
529,213.0,71.0,116.0
530,213.0,71.0,116.0
531,213.0,71.0,116.0
532,212.0,72.0,116.0
533,212.0,72.0,116.0
534,212.0,72.0,116.0
535,212.0,71.0,117.0
536,212.0,71.0,117.0
537,212.0,71.0,117.0
538,212.0,71.0,117.0
539,212.0,71.0,117.0
540,212.0,71.0,117.0
541,212.0,71.0,117.0
542,212.0,71.0,117.0
543,212.0,71.0,117.0
544,212.0,71.0,117.0
545,212.0,71.0,117.0
546,212.0,71.0,117.0
547,212.0,71.0,117.0
548,212.0,70.0,118.0
549,212.0,70.0,118.0
550,213.0,69.0,118.0
551,213.0,69.0,118.0
552,213.0,69.0,118.0
553,213.0,69.0,118.0
554,213.0,69.0,118.0
555,213.0,69.0,118.0
556,213.0,69.0,118.0
557,213.0,69.0,118.0
558,212.0,70.0,118.0
